Time,Inv 1 AC-Leistung (W)
09.07.2022,3218.9897W
10.07.2022,2471.9102W
11.07.2022,3242.9385W
12.07.2022,2563.9739W
13.07.2022,3720.2124W
14.07.2022,2897.4197W
15.07.2022,1206.7074W
16.07.2022,3232.9163W
17.07.2022,3712.2605W
18.07.2022,3656.0364W
19.07.2022,3639.8064W
20.07.2022,3670.679W
21.07.2022,3425.6719W
22.07.2022,3449.5503W
23.07.2022,2828.3635W
24.07.2022,3142.4277W
25.07.2022,3509.4973W
26.07.2022,1933.543W
27.07.2022,1002.8716W
28.07.2022,3516.4624W
29.07.2022,2122.9563W
30.07.2022,1900.9944W
31.07.2022,3355.3999W
01.08.2022,2402.25W
02.08.2022,2552.3298W
03.08.2022,3700.1794W
04.08.2022,3690.2732W
05.08.2022,3144.1667W
06.08.2022,1157.348W
07.08.2022,2625.0225W
08.08.2022,1136.1967W
09.08.2022,3697.8452W
10.08.2022,3134.5586W
11.08.2022,3437.147W
12.08.2022,2866.2529W
13.08.2022,1528.8409W
14.08.2022,3486.2261W
15.08.2022,3543.199W
16.08.2022,2792.324W
17.08.2022,3799.217W
18.08.2022,2806.0342W
19.08.2022,1822.9941W
20.08.2022,1494.7765W
21.08.2022,1117.0291W
22.08.2022,1047.3893W
23.08.2022,1096.8735W
24.08.2022,2775.8765W
25.08.2022,2475.9414W
26.08.2022,3619.2249W
27.08.2022,2845.3835W
28.08.2022,2793.9465W
29.08.2022,2236.8403W
30.08.2022,3380.8071W
31.08.2022,1144.3435W
01.09.2022,1655.5792W
02.09.2022,3212.2195W
03.09.2022,3604.0732W
04.09.2022,3359.6829W
05.09.2022,2022.4136W
06.09.2022,3443.29W
07.09.2022,2883.8875W
08.09.2022,1831.7562W
09.09.2022,1169.405W
10.09.2022,2714.7043W
11.09.2022,2104.2124W
